Geography,State,Year,Per capita personal income
Abilene, TX,2017,40876
Akron, OH,2017,47522
Albany, GA,2017,36780
Albany-Lebanon, OR,2017,41169
Albany-Schenectady-Troy, NY,2017,56487
Albuquerque, NM,2017,40912
Alexandria, LA,2017,41032
Allentown-Bethlehem-Easton, PA-NJ,2017,51411
Altoona, PA,2017,44330
Amarillo, TX,2017,44608
Ames, IA,2017,41375
Anchorage, AK,2017,58732
Ann Arbor, MI,2017,56312
Anniston-Oxford, AL,2017,35927
Appleton, WI,2017,49188
Asheville, NC,2017,43474
Athens-Clarke County, GA,2017,39025
Atlanta-Sandy Springs-Alpharetta, GA,2017,50680
Atlantic City-Hammonton, NJ,2017,46796
Auburn-Opelika, AL,2017,36845
Augusta-Richmond County, GA-SC,2017,40646
Austin-Round Rock-Georgetown, TX,2017,56087
Bakersfield, CA,2017,38388
Baltimore-Columbia-Towson, MD,2017,59774
Bangor, ME,2017,39791
Barnstable Town, MA,2017,71080
Baton Rouge, LA,2017,45853
Battle Creek, MI,2017,38408
Bay City, MI,2017,40130
Beaumont-Port Arthur, TX,2017,42747
Beckley, WV,2017,36847
Bellingham, WA,2017,46452
Bend, OR,2017,52547
Billings, MT,2017,50482
Binghamton, NY,2017,43300
Birmingham-Hoover, AL,2017,49321
Bismarck, ND,2017,54526
Blacksburg-Christiansburg, VA,2017,36811
Bloomington, IL,2017,47438
Bloomington, IN,2017,40147
Bloomsburg-Berwick, PA,2017,43953
Boise City, ID,2017,44225
Boston-Cambridge-Newton, MA-NH,2017,75012
Boulder, CO,2017,69968
Bowling Green, KY,2017,35669
Bremerton-Silverdale-Port Orchard, WA,2017,52819
Bridgeport-Stamford-Norwalk, CT,2017,111380
Brownsville-Harlingen, TX,2017,27622
Brunswick, GA,2017,39545
Buffalo-Cheektowaga, NY,2017,48942
Burlington, NC,2017,38508
Burlington-South Burlington, VT,2017,55172
California-Lexington Park, MD,2017,54546
Canton-Massillon, OH,2017,43025
Cape Coral-Fort Myers, FL,2017,49714
Cape Girardeau, MO-IL,2017,41638
Carbondale-Marion, IL,2017,39110
Carson City, NV,2017,48572
Casper, WY,2017,62752
Cedar Rapids, IA,2017,50096
Chambersburg-Waynesboro, PA,2017,44264
Champaign-Urbana, IL,2017,44169
Charleston, WV,2017,41587
Charleston-North Charleston, SC,2017,48921
Charlotte-Concord-Gastonia, NC-SC,2017,50300
Charlottesville, VA,2017,64000
Chattanooga, TN-GA,2017,44455
Cheyenne, WY,2017,49695
Chicago-Naperville-Elgin, IL-IN-WI,2017,58331
Chico, CA,2017,43164
Cincinnati, OH-KY-IN,2017,51844
Clarksville, TN-KY,2017,39834
Cleveland, TN,2017,37318
Cleveland-Elyria, OH,2017,51608
Coeur d'Alene, ID,2017,43304
College Station-Bryan, TX,2017,37837
Colorado Springs, CO,2017,47098
Columbia, MO,2017,44749
Columbia, SC,2017,43808
Columbus, GA-AL,2017,39715
Columbus, IN,2017,48154
Columbus, OH,2017,49441
Corpus Christi, TX,2017,42501
Corvallis, OR,2017,44685
Crestview-Fort Walton Beach-Destin, FL,2017,50459
Cumberland, MD-WV,2017,38566
Dallas-Fort Worth-Arlington, TX,2017,53870
Dalton, GA,2017,34860
Danville, IL,2017,37812
Daphne-Fairhope-Foley, AL,2017,44566
Davenport-Moline-Rock Island, IA-IL,2017,47602
Dayton-Kettering, OH,2017,45954
Decatur, AL,2017,37366
Decatur, IL,2017,45767
Deltona-Daytona Beach-Ormond Beach, FL,2017,41629
Denver-Aurora-Lakewood, CO,2017,60812
Des Moines-West Des Moines, IA,2017,52159
Detroit-Warren-Dearborn, MI,2017,50397
Dothan, AL,2017,40040
Dover, DE,2017,40653
Dubuque, IA,2017,46620
Duluth, MN-WI,2017,43876
Durham-Chapel Hill, NC,2017,51347
East Stroudsburg, PA,2017,40507
Eau Claire, WI,2017,45163
El Centro, CA,2017,37060
Elizabethtown-Fort Knox, KY,2017,40724
Elkhart-Goshen, IN,2017,45343
Elmira, NY,2017,42869
El Paso, TX,2017,34595
Enid, OK,2017,42638
Erie, PA,2017,42524
Eugene-Springfield, OR,2017,44416
Evansville, IN-KY,2017,45480
Fairbanks, AK,2017,54612
Fargo, ND-MN,2017,50834
Farmington, NM,2017,34006
Fayetteville, NC,2017,35614
Fayetteville-Springdale-Rogers, AR,2017,62313
Flagstaff, AZ,2017,46824
Flint, MI,2017,39198
Florence, SC,2017,38711
Florence-Muscle Shoals, AL,2017,36567
Fond du Lac, WI,2017,46055
Fort Collins, CO,2017,51748
Fort Smith, AR-OK,2017,36381
Fort Wayne, IN,2017,44238
Fresno, CA,2017,41905
Gadsden, AL,2017,36064
Gainesville, FL,2017,41438
Gainesville, GA,2017,42239
Gettysburg, PA,2017,46786
Glens Falls, NY,2017,45031
Goldsboro, NC,2017,37361
Grand Forks, ND-MN,2017,48184
Grand Island, NE,2017,42734
Grand Junction, CO,2017,42972
Grand Rapids-Kentwood, MI,2017,47501
Grants Pass, OR,2017,39566
Great Falls, MT,2017,46031
Greeley, CO,2017,44479
Green Bay, WI,2017,49044
Greensboro-High Point, NC,2017,42026
Greenville, NC,2017,39958
Greenville-Anderson, SC,2017,42736
Gulfport-Biloxi, MS,2017,35793
Hagerstown-Martinsburg, MD-WV,2017,42268
Hammond, LA,2017,36810
Hanford-Corcoran, CA,2017,36494
Harrisburg-Carlisle, PA,2017,50076
Harrisonburg, VA,2017,38828
Hartford-East Hartford-Middletown, CT,2017,61228
Hattiesburg, MS,2017,37260
Hickory-Lenoir-Morganton, NC,2017,38297
Hilton Head Island-Bluffton, SC,2017,50863
Hinesville, GA,2017,32387
Homosassa Springs, FL,2017,37012
Hot Springs, AR,2017,38759
Houma-Thibodaux, LA,2017,41625
Houston-The Woodlands-Sugar Land, TX,2017,54017
Huntington-Ashland, WV-KY-OH,2017,38109
Huntsville, AL,2017,47952
Idaho Falls, ID,2017,43942
Indianapolis-Carmel-Anderson, IN,2017,52196
Iowa City, IA,2017,51198
Ithaca, NY,2017,43732
Jackson, MI,2017,37821
Jackson, MS,2017,42025
Jackson, TN,2017,38958
Jacksonville, FL,2017,48231
Jacksonville, NC,2017,44865
Janesville-Beloit, WI,2017,42212
Jefferson City, MO,2017,41704
Johnson City, TN,2017,38821
Johnstown, PA,2017,40817
Jonesboro, AR,2017,35714
Joplin, MO,2017,38456
Kahului-Wailuku-Lahaina, HI,2017,47783
Kalamazoo-Portage, MI,2017,46373
Kankakee, IL,2017,39672
Kansas City, MO-KS,2017,51524
Kennewick-Richland, WA,2017,42979
Killeen-Temple, TX,2017,40937
Kingsport-Bristol, TN-VA,2017,38612
Kingston, NY,2017,48584
Knoxville, TN,2017,44212
Kokomo, IN,2017,40069
La Crosse-Onalaska, WI-MN,2017,48096
Lafayette, LA,2017,41907
Lafayette-West Lafayette, IN,2017,37595
Lake Charles, LA,2017,46190
Lake Havasu City-Kingman, AZ,2017,32030
Lakeland-Winter Haven, FL,2017,34938
Lancaster, PA,2017,50115
Lansing-East Lansing, MI,2017,39699
Laredo, TX,2017,30340
Las Cruces, NM,2017,35153
Las Vegas-Henderson-Paradise, NV,2017,45798
Lawrence, KS,2017,41866
Lawton, OK,2017,39783
Lebanon, PA,2017,46104
Lewiston, ID-WA,2017,44061
Lewiston-Auburn, ME,2017,39734
Lexington-Fayette, KY,2017,46302
Lima, OH,2017,40925
Lincoln, NE,2017,47460
Little Rock-North Little Rock-Conway, AR,2017,44042
Logan, UT-ID,2017,37356
Longview, TX,2017,39884
Longview, WA,2017,42904
Los Angeles-Long Beach-Anaheim, CA,2017,61159
Louisville/Jefferson County, KY-IN,2017,48038
Lubbock, TX,2017,40813
Lynchburg, VA,2017,38948
Macon-Bibb County, GA,2017,39589
Madera, CA,2017,37967
Madison, WI,2017,56507
Manchester-Nashua, NH,2017,58566
Manhattan, KS,2017,44194
Mankato, MN,2017,44548
Mansfield, OH,2017,38074
McAllen-Edinburg-Mission, TX,2017,25712
Medford, OR,2017,44955
Memphis, TN-MS-AR,2017,45034
Merced, CA,2017,38329
Miami-Fort Lauderdale-Pompano Beach, FL,2017,55505
Michigan City-La Porte, IN,2017,40731
Midland, MI,2017,57548
Midland, TX,2017,109131
Milwaukee-Waukesha, WI,2017,54194
Minneapolis-St. Paul-Bloomington, MN-WI,2017,60179
Missoula, MT,2017,48144
Mobile, AL,2017,37319
Modesto, CA,2017,42592
Monroe, LA,2017,38721
Monroe, MI,2017,45252
Montgomery, AL,2017,42095
Morgantown, WV,2017,41129
Morristown, TN,2017,34842
Mount Vernon-Anacortes, WA,2017,49436
Muncie, IN,2017,35842
Muskegon, MI,2017,36971
Myrtle Beach-Conway-North Myrtle Beach, SC-NC,2017,37747
Napa, CA,2017,70649
Naples-Marco Island, FL,2017,89607
Nashville-Davidson--Murfreesboro--Franklin, TN,2017,55729
New Bern, NC,2017,41850
New Haven-Milford, CT,2017,53582
New Orleans-Metairie, LA,2017,50015
New York-Newark-Jersey City, NY-NJ-PA,2017,73093
Niles, MI,2017,45376
North Port-Sarasota-Bradenton, FL,2017,54813
Norwich-New London, CT,2017,56543
Ocala, FL,2017,36141
Ocean City, NJ,2017,58019
Odessa, TX,2017,42824
Ogden-Clearfield, UT,2017,41878
Oklahoma City, OK,2017,46034
Olympia-Lacey-Tumwater, WA,2017,48569
Omaha-Council Bluffs, NE-IA,2017,54968
Orlando-Kissimmee-Sanford, FL,2017,41906
Oshkosh-Neenah, WI,2017,46047
Owensboro, KY,2017,39931
Oxnard-Thousand Oaks-Ventura, CA,2017,58970
Palm Bay-Melbourne-Titusville, FL,2017,43733
Panama City, FL,2017,41658
Parkersburg-Vienna, WV,2017,39197
Pensacola-Ferry Pass-Brent, FL,2017,41937
Peoria, IL,2017,46174
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,2017,61353
Phoenix-Mesa-Chandler, AZ,2017,44327
Pine Bluff, AR,2017,33353
Pittsburgh, PA,2017,54583
Pittsfield, MA,2017,54396
Pocatello, ID,2017,36957
Portland-South Portland, ME,2017,54918
Portland-Vancouver-Hillsboro, OR-WA,2017,54339
Port St. Lucie, FL,2017,52836
Poughkeepsie-Newburgh-Middletown, NY,2017,51773
Prescott Valley-Prescott, AZ,2017,38661
Providence-Warwick, RI-MA,2017,52344
Provo-Orem, UT,2017,38789
Pueblo, CO,2017,37462
Punta Gorda, FL,2017,40281
Racine, WI,2017,47418
Raleigh-Cary, NC,2017,52609
Rapid City, SD,2017,47916
Reading, PA,2017,47629
Redding, CA,2017,44808
Reno, NV,2017,57070
Richmond, VA,2017,55548
Riverside-San Bernardino-Ontario, CA,2017,38972
Roanoke, VA,2017,45414
Rochester, MN,2017,52427
Rochester, NY,2017,49729
Rockford, IL,2017,42342
Rocky Mount, NC,2017,38263
Rome, GA,2017,37072
Sacramento-Roseville-Folsom, CA,2017,54245
Saginaw, MI,2017,37203
St. Cloud, MN,2017,44700
St. George, UT,2017,37043
St. Joseph, MO-KS,2017,37831
St. Louis, MO-IL,2017,52395
Salem, OR,2017,41055
Salinas, CA,2017,54691
Salisbury, MD-DE,2017,47245
Salt Lake City, UT,2017,49254
San Angelo, TX,2017,44254
San Antonio-New Braunfels, TX,2017,45181
San Diego-Chula Vista-Carlsbad, CA,2017,58380
San Francisco-Oakland-Berkeley, CA,2017,93165
San Jose-Sunnyvale-Santa Clara, CA,2017,99176
San Luis Obispo-Paso Robles, CA,2017,55580
Santa Cruz-Watsonville, CA,2017,64731
Santa Fe, NM,2017,55063
Santa Maria-Santa Barbara, CA,2017,59894
Santa Rosa-Petaluma, CA,2017,60027
Savannah, GA,2017,45103
Scranton--Wilkes-Barre, PA,2017,43976
Seattle-Tacoma-Bellevue, WA,2017,69844
Sebastian-Vero Beach, FL,2017,74267
Sebring-Avon Park, FL,2017,33011
Sheboygan, WI,2017,50830
Sherman-Denison, TX,2017,40793
Shreveport-Bossier City, LA,2017,43863
Sierra Vista-Douglas, AZ,2017,39060
Sioux City, IA-NE-SD,2017,47827
Sioux Falls, SD,2017,57456
South Bend-Mishawaka, IN-MI,2017,45428
Spartanburg, SC,2017,41803
Spokane-Spokane Valley, WA,2017,43923
Springfield, IL,2017,46387
Springfield, MA,2017,50283
Springfield, MO,2017,40025
Springfield, OH,2017,39445
State College, PA,2017,44720
Staunton, VA,2017,42815
Stockton, CA,2017,42917
Sumter, SC,2017,35818
Syracuse, NY,2017,48148
Tallahassee, FL,2017,40866
Tampa-St. Petersburg-Clearwater, FL,2017,45468
Terre Haute, IN,2017,36764
Texarkana, TX-AR,2017,36862
The Villages, FL,2017,44741
Toledo, OH,2017,44780
Topeka, KS,2017,43840
Trenton-Princeton, NJ,2017,66045
Tucson, AZ,2017,42245
Tulsa, OK,2017,51258
Tuscaloosa, AL,2017,37050
Twin Falls, ID,2017,38197
Tyler, TX,2017,52319
Urban Honolulu, HI,2017,57352
Utica-Rome, NY,2017,42874
Valdosta, GA,2017,34900
Vallejo, CA,2017,48593
Victoria, TX,2017,44113
Vineland-Bridgeton, NJ,2017,38807
Virginia Beach-Norfolk-Newport News, VA-NC,2017,48687
Visalia, CA,2017,39670
Waco, TX,2017,39448
Walla Walla, WA,2017,43979
Warner Robins, GA,2017,40653
Washington-Arlington-Alexandria, DC-VA-MD-WV,2017,69679
Waterloo-Cedar Falls, IA,2017,43703
Watertown-Fort Drum, NY,2017,45611
Wausau-Weston, WI,2017,47284
Weirton-Steubenville, WV-OH,2017,38673
Wenatchee, WA,2017,47806
Wheeling, WV-OH,2017,45940
Wichita, KS,2017,48663
Wichita Falls, TX,2017,41757
Williamsport, PA,2017,41766
Wilmington, NC,2017,42137
Winchester, VA-WV,2017,46478
Winston-Salem, NC,2017,43630
Worcester, MA-CT,2017,53395
Yakima, WA,2017,41752
York-Hanover, PA,2017,47965
Youngstown-Warren-Boardman, OH-PA,2017,40623
Yuba City, CA,2017,41676
Yuma, AZ,2017,33969
Abilene, TX,2018,43585
Akron, OH,2018,49556
Albany, GA,2018,38034
Albany-Lebanon, OR,2018,43327
Albany-Schenectady-Troy, NY,2018,58443
Albuquerque, NM,2018,42469
Alexandria, LA,2018,43015
Allentown-Bethlehem-Easton, PA-NJ,2018,53538
Altoona, PA,2018,46539
Amarillo, TX,2018,46374
Ames, IA,2018,43785
Anchorage, AK,2018,61825
Ann Arbor, MI,2018,58823
Anniston-Oxford, AL,2018,36988
Appleton, WI,2018,51042
Asheville, NC,2018,45759
Athens-Clarke County, GA,2018,40692
Atlanta-Sandy Springs-Alpharetta, GA,2018,53188
Atlantic City-Hammonton, NJ,2018,48548
Auburn-Opelika, AL,2018,38378
Augusta-Richmond County, GA-SC,2018,42075
Austin-Round Rock-Georgetown, TX,2018,59638
Bakersfield, CA,2018,39794
Baltimore-Columbia-Towson, MD,2018,62013
Bangor, ME,2018,41615
Barnstable Town, MA,2018,74714
Baton Rouge, LA,2018,48159
Battle Creek, MI,2018,39160
Bay City, MI,2018,42367
Beaumont-Port Arthur, TX,2018,44138
Beckley, WV,2018,39312
Bellingham, WA,2018,49464
Bend, OR,2018,55612
Billings, MT,2018,52502
Binghamton, NY,2018,44427
Birmingham-Hoover, AL,2018,51723
Bismarck, ND,2018,56743
Blacksburg-Christiansburg, VA,2018,38421
Bloomington, IL,2018,49236
Bloomington, IN,2018,41888
Bloomsburg-Berwick, PA,2018,45625
Boise City, ID,2018,46664
Boston-Cambridge-Newton, MA-NH,2018,78923
Boulder, CO,2018,73518
Bowling Green, KY,2018,36186
Bremerton-Silverdale-Port Orchard, WA,2018,56297
Bridgeport-Stamford-Norwalk, CT,2018,117432
Brownsville-Harlingen, TX,2018,28940
Brunswick, GA,2018,41967
Buffalo-Cheektowaga, NY,2018,50261
Burlington, NC,2018,39940
Burlington-South Burlington, VT,2018,57041
California-Lexington Park, MD,2018,56815
Canton-Massillon, OH,2018,44670
Cape Coral-Fort Myers, FL,2018,51093
Cape Girardeau, MO-IL,2018,42894
Carbondale-Marion, IL,2018,40476
Carson City, NV,2018,50797
Casper, WY,2018,71324
Cedar Rapids, IA,2018,52261
Chambersburg-Waynesboro, PA,2018,46298
Champaign-Urbana, IL,2018,45331
Charleston, WV,2018,44198
Charleston-North Charleston, SC,2018,51202
Charlotte-Concord-Gastonia, NC-SC,2018,52295
Charlottesville, VA,2018,67735
Chattanooga, TN-GA,2018,46055
Cheyenne, WY,2018,52655
Chicago-Naperville-Elgin, IL-IN-WI,2018,61642
Chico, CA,2018,44576
Cincinnati, OH-KY-IN,2018,54055
Clarksville, TN-KY,2018,40488
Cleveland, TN,2018,38594
Cleveland-Elyria, OH,2018,53770
Coeur d'Alene, ID,2018,45409
College Station-Bryan, TX,2018,40498
Colorado Springs, CO,2018,49007
Columbia, MO,2018,45512
Columbia, SC,2018,44915
Columbus, GA-AL,2018,40980
Columbus, IN,2018,51234
Columbus, OH,2018,51114
Corpus Christi, TX,2018,43677
Corvallis, OR,2018,47070
Crestview-Fort Walton Beach-Destin, FL,2018,53010
Cumberland, MD-WV,2018,39757
Dallas-Fort Worth-Arlington, TX,2018,56864
Dalton, GA,2018,36697
Danville, IL,2018,39177
Daphne-Fairhope-Foley, AL,2018,46205
Davenport-Moline-Rock Island, IA-IL,2018,49118
Dayton-Kettering, OH,2018,47801
Decatur, AL,2018,38894
Decatur, IL,2018,48206
Deltona-Daytona Beach-Ormond Beach, FL,2018,43467
Denver-Aurora-Lakewood, CO,2018,64690
Des Moines-West Des Moines, IA,2018,53884
Detroit-Warren-Dearborn, MI,2018,52572
Dothan, AL,2018,41761
Dover, DE,2018,41638
Dubuque, IA,2018,50120
Duluth, MN-WI,2018,46004
Durham-Chapel Hill, NC,2018,52727
East Stroudsburg, PA,2018,42267
Eau Claire, WI,2018,47600
El Centro, CA,2018,37587
Elizabethtown-Fort Knox, KY,2018,41460
Elkhart-Goshen, IN,2018,46354
Elmira, NY,2018,44510
El Paso, TX,2018,36279
Enid, OK,2018,43667
Erie, PA,2018,45038
Eugene-Springfield, OR,2018,46124
Evansville, IN-KY,2018,47067
Fairbanks, AK,2018,57720
Fargo, ND-MN,2018,53315
Farmington, NM,2018,35278
Fayetteville, NC,2018,36874
Fayetteville-Springdale-Rogers, AR,2018,66909
Flagstaff, AZ,2018,48870
Flint, MI,2018,40618
Florence, SC,2018,40598
Florence-Muscle Shoals, AL,2018,37797
Fond du Lac, WI,2018,48311
Fort Collins, CO,2018,54207
Fort Smith, AR-OK,2018,37120
Fort Wayne, IN,2018,46478
Fresno, CA,2018,43438
Gadsden, AL,2018,37245
Gainesville, FL,2018,43291
Gainesville, GA,2018,44442
Gettysburg, PA,2018,48379
Glens Falls, NY,2018,46633
Goldsboro, NC,2018,38425
Grand Forks, ND-MN,2018,50258
Grand Island, NE,2018,43859
Grand Junction, CO,2018,45405
Grand Rapids-Kentwood, MI,2018,49054
Grants Pass, OR,2018,41909
Great Falls, MT,2018,47889
Greeley, CO,2018,48035
Green Bay, WI,2018,51575
Greensboro-High Point, NC,2018,43437
Greenville, NC,2018,41841
Greenville-Anderson, SC,2018,44269
Gulfport-Biloxi, MS,2018,36827
Hagerstown-Martinsburg, MD-WV,2018,43824
Hammond, LA,2018,37713
Hanford-Corcoran, CA,2018,36961
Harrisburg-Carlisle, PA,2018,52209
Harrisonburg, VA,2018,40328
Hartford-East Hartford-Middletown, CT,2018,63446
Hattiesburg, MS,2018,38306
Hickory-Lenoir-Morganton, NC,2018,39527
Hilton Head Island-Bluffton, SC,2018,53610
Hinesville, GA,2018,34371
Homosassa Springs, FL,2018,38021
Hot Springs, AR,2018,39578
Houma-Thibodaux, LA,2018,42584
Houston-The Woodlands-Sugar Land, TX,2018,57154
Huntington-Ashland, WV-KY-OH,2018,40368
Huntsville, AL,2018,50199
Idaho Falls, ID,2018,46113
Indianapolis-Carmel-Anderson, IN,2018,54778
Iowa City, IA,2018,54803
Ithaca, NY,2018,45120
Jackson, MI,2018,39173
Jackson, MS,2018,43496
Jackson, TN,2018,40178
Jacksonville, FL,2018,50321
Jacksonville, NC,2018,46377
Janesville-Beloit, WI,2018,44295
Jefferson City, MO,2018,42199
Johnson City, TN,2018,40256
Johnstown, PA,2018,43445
Jonesboro, AR,2018,36515
Joplin, MO,2018,40320
Kahului-Wailuku-Lahaina, HI,2018,49157
Kalamazoo-Portage, MI,2018,48279
Kankakee, IL,2018,41387
Kansas City, MO-KS,2018,53484
Kennewick-Richland, WA,2018,44548
Killeen-Temple, TX,2018,41661
Kingsport-Bristol, TN-VA,2018,40195
Kingston, NY,2018,50590
Knoxville, TN,2018,46360
Kokomo, IN,2018,42140
La Crosse-Onalaska, WI-MN,2018,50445
Lafayette, LA,2018,43518
Lafayette-West Lafayette, IN,2018,39645
Lake Charles, LA,2018,48547
